exam,knowledge
"如图，反比例函数y1＝与一次函数y2＝kx+b的图象交于A、B两点，其中点A的横坐标为﹣2，B点的纵坐标为2，则k﹣b＝．
 ",4
若反比例函数y＝的图象与一次函数y＝mx+n的图象的交点的横坐标为1和﹣3，则关于x的方程＝mx﹣n的解是．,4
"已知，如图，正比例函数y＝ax的图象与反比例函数y的图象交于点A（3，2）
 （1）填空：a＝　　；k＝　　．
 （2）M（m，n）是反比例函数图象上的一动点，其中0＜m＜3，过点M作直线MB∥x轴，交y轴于点B；过点A作直线AC∥y轴交x轴于点C，交直线MB于点D．
 ①当BM＝DM时，求△ODM的面积；
 ②当BM＝2DM时，求出直线MA的解析式．
 ",4
"如图，一次函数y＝kx+b（k、b为常数，k≠0）的图象与x轴、y轴分别交于A、B两点，且与反比例函数y（n为常数，且n≠0）的图象在第二象限交于点C．CD⊥x轴，垂足为D，若OB＝2OA＝3OD＝12．
 （1）求一次函数与反比例函数的解析式；
 （2）记两函数图象的另一个交点为E，求△CDE的面积；
 （3）直接写出不等式kx+b的解集．
 
",4
"如果两圆半径分别为3cm和5cm，圆心距为4cm，那么两圆位置关系是（　　）
 A．外离B．外切C．相交D．内切",3
"如图，一次函数y＝2x与反比例函数y（k＞0）的图象交于点A，B，点P在以C（﹣2，0）为圆心，1为半径的⊙C上，Q是AP的中点，若OQ长的最大值为，则k的值为　　．
 ",4
"2的算术平方根是（　　）
A．B．C．D．2",0
等于　　．,0
"如图，在平面直角坐标系xOy中，已知一次函数y＝kx+b的图象经过点A（1，0），与反比例函数（x＞0）的图象相交于点B（2，1）．
 （1）求m的值和一次函数的解析式；
 （2）结合图象直接写出：当x＞0时，不等式的解集．
 ",4
"一个几何体的表面展开图如图所示，则这个几何体是（　　）
 
 A．四棱锥B．四棱柱C．三棱锥D．三棱柱",2
"如图，一次函数y＝k1x+b的图象经过A（0，﹣2），B（1，0）两点，与反比例函数的图象在第一象限内的交点为M，若△OBM的面积为2．
 （1）求一次函数和反比例函数的表达式；
 （2）在x轴上是否存在点P，使AM⊥MP？若存在，求出点P的坐标；若不存在，说明理由．
 
",4
"已知两圆半径分别为7、3，圆心距为4，则这两圆的位置关系为
 A.外离B.内切C.相交D.内含",3
"如图，圆与圆的位置关系没有（　　）
 
 A．相交B．相切C．内含D．外离",3
"如图，一次函数y＝x+1的图象交y轴于点A，与反比例函数y＝（x＞0）的图象交于点B（m，2）．
 （1）求反比例函数的表达式；
 （2）求△AOB的面积．
 ",4
"16的算术平方根是（　　）
A．4B．&plusmn;4C．8D．&plusmn;8",0
在同一平面直角坐标系中，正比例函数y＝k1x的图象与反比例函数y＝的图象一个交点的坐标是（﹣1，3），则它们另一个交点的坐标是．,4
4是 的算术平方根．,0
"已知反比例函数y1与正比例函数y2＝x相交于A（2，2）．
 （1）求k值．
 （2）画出反比例函数的图象．
 （3）当y1＞y2时，直接写出x的范围？
 （4）根据图象，解不等式x﹣3．
 ",4
"5的平方根是　　，算术平方根是　　． 
 ","0,1"
"的值等于
A.B.C.D.",0
"9的算术平方根是（　　）
A．﹣3B．3C．D．&plusmn;3",0
"16的算术平方根是（　　）
A．&plusmn;4B．&plusmn;2C．4D．﹣4",0
"如图，A、B是反比例函数y＝图象上关于原点O对称的两点，BC⊥x轴，垂足为C，连线AC过点D（0，﹣1.5）．若△ABC的面积为7，则点B的坐标为．
 ",4
"计算：（）2＝　　，　　．
 ",0
"如图，一次函数y＝kx+b与反比例函数y（x＞0）的图象交于A（m，6），
 B（3，n）两点．
 （1）求一次函数关系式；
 （2）根据图象直接写出kx+b0的x的取值范围；
 （3）求△AOB的面积．
  ",4
"如图，已知BC是圆柱底面的直径，AB是圆柱的高，在圆柱的侧面上，过点A，C嵌有一圈路径最短的金属丝，现将圆柱侧面沿AB剪开，所得的圆柱侧面展开图是（　　）
 
 A．B．
 C．D．",2
"函数y1＝x（x≥0），（x＞0）的图象如图所示，则结论：
 ①两函数图象的交点A的坐标为（3，3）；
 ②当x＞3时，y2＞y1；
 ③当x＝1时，BC＝8；
 ④当x逐渐增大时，y1随着x的增大而增大，y2随着x的增大而减小．
 其中正确结论的序号是　　．
 ",4
如图，过原点O的直线与反比例函数，的图象在第一象限内分别交于点A，B，且A为OB的中点，若函数，则与x的函数表达式是______.,4
"如图，在平面直角坐标系中，反比例函数y＝（x＞0）的图象与正比例函数y＝kx、y＝x（k＞1）的图象分别交于点A、B．若∠AOB＝45&deg;，则△AOB的面积是_______．
 ",4
"一次函数y＝x+n的图象与x轴交于点B，与反比例函数y＝（m＞0）的图象交于点A（1，m），且△AOB的面积为1，则m的值是（　　）
 A．1B．2C．3D．4",4
"把如图中的三棱柱展开，所得到的展开图是（　　）
 
 A．B．
 C．D．",2
"如图所示为一个无盖长方体盒子的展开图（重叠部分不计），根据图中数据，可知该无盖长方体的容积为．
 ",2
4的平方根是______ ；4的算术平方根是______ .,"0,1"
函数y＝与y＝2x的图象没有交点，则k的取值范围为．,4
"如图，一次函数的图象与x轴交于点A，与反比例函数的图象交于点，过点B作轴于点C，点是该反比例函数图象上的一点，且，求反比例函数和一次函数的表达式．
 ",4
"已知⊙O1的半径为2，⊙O2的半径为5，若⊙O1和⊙O2有2个公共点，则圆心距O1O2的长度可以是（　　）
 A．3B．5C．7D．9",3
"的值等于（　　）
A．2B．﹣2C．&plusmn;2D．16",0
"4的算术平方根是（　　）
A．&plusmn;4B．4C．&plusmn;2D．2",0
4是 　　的算术平方根．,0
已知⊙O1与⊙O2外切，圆心距为8cm，且⊙O1的半径为5cm，则⊙O2的半径为　　厘米．,3
"函数y的图象与直线y＝x没有交点，那么k的取值范围是（　　）
 A．k＞1B．k＜1C．k＞﹣1D．k＜﹣1",4
"两圆的半径分别为2和5，圆心距为7，则这两圆的位置关系为（　　）
 A．外离B．外切C．相交D．内切",3
"如图所示为一个无盖长方体盒子的展开图（重叠部分不计），根据图中数据，可知该无盖长方体的容积为（　　）
 
 A．4B．6C．8D．12",2
"化简的结果是（　　）
 A．﹣4B．4C．&plusmn;4D．2",0
"反比例函数﻿的图象上有一点，将直线OA绕点A顺时针旋转，交双曲线于点B，则点B的坐标为
 A.B.
 C.﻿D.﻿﻿",4
"如图，反比例函数y（x＞0）的图象与直线y＝mx交于点C，直线l：y＝4分别交两函数图象于点A（1，4）和点B，过点B作BD⊥l交反比例函数图象于点D．
 （1）求反比例函数的解析式；
 （2）当BD＝2AB时，求点B的坐标．
 ",4
"已知一次函数y＝x+m与反比例函数y＝的图象在第一象限内的交点为P（a，3）．
 （1）求一次函数与反比例函数的关系式；
 （2）当一次函数大于反比例函数值时，直接写出自变量x的取值范围．",4
"如图，⊙A、⊙B的半径分别为4、2，且AB＝12，若做一⊙C使得三圆的圆心在同一直线上，且⊙C与⊙A外切，⊙C与⊙B相交于两点，则⊙C的半径可能是（　　）
 
 A．3B．4C．5D．6",3
4是 　　的算术平方根．,0
"已知⊙O1与⊙O2相切，⊙O1的半径为3cm，⊙O2的半径为2cm，则O1O2的长是（　　）
 A．1cmB．5cm
 C．1cm或5cmD．0.5cm或2.5cm
 ",3
"4的算术平方根是（　　）
A．&plusmn;2B．2C．﹣2D．&plusmn;16",0
"面积为4的正方形的边长是
 A.4的平方根B.4的算术平方根C.4开平方的结果D.4的立方根",0
"如图，直线y＝﹣x+b与双曲线y（k＜0），y（m＞0）分别相交于点A，B，C，D，已知点A的坐标为（﹣1，4），且AB：CD＝5：2，则m＝　　．
 
",4
"如图，一次函数y＝kx﹣1的图象与x轴交于点A，与反比例函数y＝（x＞0）的图象交于点B，BC垂直x轴于点C．若△ABC的面积为1，则k的值是_______．
 ",4
"已知A是双曲线y在第一象限上的一动点，连接AO并延长交另一分支于点B，以AB为边作等边三角形ABC，点C在第四象限，已知点C的位置始终在一函数图象上运动，则这个函数解析式为（　　）
 
 A．yB．y（x＞0）C．y＝﹣6x（x＞0）D．y＝6x（x＞0）",4
实数4的算术平方根为_______．,0
"4的算术平方根是（　　）
 A．2B．&plusmn;2C．16D．&plusmn;16",0
"4的算术平方根（　　）
A．2B．﹣2C．D．&plusmn;",0
"2的算术平方根是（　　）
A．4B．&plusmn;4C．D．",0
"如图，在平面直角坐标系xOy中，直线y＝x+3与函数y（k＞0）的图象交于点A（1，m），与x轴交于点B．
 （1）求m，k的值；
 （2）过动点P（n，0）（n＞0）作平行于y轴的直线，交函数y（k＞0）的图象于点C，交直线y＝x+3于点D；
 ①当n＝2时，求线段CD的长；
 ②若CD≤OB，结合函数的图象，直接写出n的取值范围．
 ",4
"如图，一次函数y＝kx+6的图象与x轴、y轴分别交于A、B两点，且与反比例函数y（x＜0）的图象在第二象限交于点C，CD⊥x轴，垂足为D，且OB：OA：OD＝6：3：2
 （1）求一次函数与反比例函数的解析式；
 （2）当kx+6时，请直接写出x的取值范围．
 ",4
"在平面直角坐标系xOy中，已知直线yx与双曲线y的一个交点是A（2，a）．
 （1）求k的值；
 （2）设点P（m，n）是双曲线y上不同于A的一点，直线PA与x轴交于点B（b，0）．
 ①若m＝1，求b的值；
 ②若PB＝2AB，结合图象，直接写出b的值．
 
",4
"如图，在平面直角坐标系xOy中，一次函数y＝x+b的图象分别与x轴、y轴交于点A、B，与反比例函数y＝（x＞0）的图象交于点C，连接OC．已知点A（﹣4，0），AB＝2BC．
 （1）求b、k的值；
 （2）求△AOC的面积．
 ",4
"如图，一次函数y＝kx+b的图象与反比例函数y＝﹣的图象相交于点A（﹣1，m）、B（n，﹣1）两点．
 （1）求一次函数表达式；
 （2）求△AOB的面积．
 ",4
"如图，在直角坐标系xOy中，直线y＝mx与双曲线y相交于A（﹣1，a）、B两点，BC⊥x轴，垂足是C，△AOC的面积是1．
 （1）求m、n的值；
 （2）求直线AC的解析式．
 
",4
"如图，一次函数y＝kx+b（k≠0）的图象过点P（，0），且与反比例函数y（m≠0）的图象相交于点A（﹣2，1）和点B．
 （1）求一次函数和反比例函数的解析式；
 （2）求点B的坐标，并根据图象回答：当x在什么范围内取值时，一次函数的函数值小于反比例函数的函数值？
 ",4
"如图，在平面直角坐标系中，一次函数y＝kx+b与反比例函数y（m≠0）的图象交于点A（3，1），且过点B（0，﹣2）．
 （1）求反比例函数和一次函数的表达式；
 （2）如果点P是x轴上一点，且△ABP的面积是3，求点P的坐标．
  ",4
"的值等于（　　）
A．3B．﹣3C．&plusmn;3D．",0
在平面直角坐标系xOy中，直线y＝﹣x+2m与函数（x＜0）的图象在第二象限相交于点A，与x轴相交于点B，则OA2﹣OB2的值为　　．,4
计算：＝．,0
"如图，一次函数y＝x+m的图象与反比例函数y的图象交于A，B两点，且与x轴交于点C，点A的坐标为（2，1）．
 （1）求m及k的值；
 （2）求点C的坐标，并结合图象写出不等式组0＜x+m的解集．
 
",4
"9的算术平方根是
 A.3B.C.D.9",0
" 如图，平面直角坐标系中，AO＝4，AB＝5，C为反比例函数y（k＜0）的图象上一点，CB⊥OB．D为x正半轴上一点，OD＝7．
 （1）求直线AB的解析式和AD的长；
 （2）若AC⊥CD，求k的值．
 
",4
"如图，矩形ABCD的边BC在x轴的负半轴上，顶点D（a，b）在反比例函数y的图象上，直线AC交y轴点E，且S△BCE＝4，则k的值为（　　）
 
 A．﹣16B．﹣8C．﹣4D．﹣2",4
"已知⊙O1和⊙O2的半径分别为3cm、4cm，圆心距O1O2为5cm，则这两圆的位置关系是（　　）
 A．内切B．外切C．内含D．相交",3
"如图，在平面直角坐标系xOy中，直线y＝2x+n与x轴、y轴分别交于点A、B，与双曲线y＝在第一象限内交于点C（1，m）．
 （1）求m和n的值；
 （2）过x轴上的点D（3，0）作平行于y轴的直线l，分别与直线AB和双曲线y＝交于点P、Q，求△APQ的面积．
 ",4
"如图，过点的直线交x轴于点A，，，曲线过点B，将点A沿y轴正方向平移a个单位长度恰好落在该曲线上，则a的值为______.
",4
"反比例函数与一次函数的图象有一个交点，则k的值为
 A.1B.2C.D.",4
9的算术平方根是　　．,0
"在同一直线坐标系中，若正比例函数y＝k1x的图象与反比例函数y的图象没有公共点，则（　　）
 A．k1+k2＜0B．k1+k2＞0C．k1k2＜0D．k1k2＞0",4
"若两圆的半径分别为2和3，圆心距为5，则两圆的位置关系为（　　）
 A．外离B．内切C．相交D．外切 ",3
"如图，在平面直角坐标系中，一次函数y＝k1x+b的图象与反比例函数y＝的图象交于A（4，﹣2）、B（﹣2，n）两点，与x轴交于点C．
 （1）求k2，n的值；
 （2）请直接写出不等式k1x+b的解集；
 （3）将x轴下方的图象沿x轴翻折，点A落在点A′处，连接A′B，A′C，求△A′BC的面积．
 ",4
"反比例函数与一次函数y＝2x+1的图象的一个交点是（1，k），则k的值为（　　）
 A．﹣2B．2C．﹣3D．3",4
已知一次函数y＝x﹣3的图象与x、y轴分别交于点A、B，与反比例函数y＝（x＞0）的图象交于点C，且AB＝AC，则k的值为．,4
"正比例函数y＝﹣2x与反比例函数y＝的图象相交于A（m，2），B两点．则点B的坐标是（　　）
 A．（﹣2，1）B．（1，﹣2）C．（﹣1，2）D．（2，﹣1）",4
"已知正比例函数y1＝kx（k≠0）和反比例函数的图象都经过点（﹣2，1）．
 （1）求这两个函数的表达式；
 （2）试说明当x为何值时，y1＞y2？",4
"如图，P1，P2是反比例函数y（k＞0）在第一象限上的两点，点A1的坐标为（4，0），△P1OA1与△P2A1A2均为等边三角形．
 （1）求反比例函数的解析式．
 （2）求点P2的坐标．
 （3）根据图象直接写出在第一象限内当x满足什么条件时，经过P1，P2的一次函数的函数值大于反比例函数y的函数值．
 ",4
已知⊙O1的半径为3，⊙O2的半径为5，O1O2＝7，则⊙O1、⊙O2的位置关系是．,3
"如图，在平面直角坐标系中，一次函数y＝ax+b的图象与反比例函数y的图象相交于A，B（6，m）两点，与y轴交于点C．连接OA，OA＝5，cos∠AOC．
 （1）求点A，点B坐标和反比例的解析式；
 （2）直接写出不等式ax+b的解集．
 
 ",4
若⊙A和⊙B内切，它们的直径分别为8cm和2cm，则圆心距AB为　　cm．,3
"如图，正比例函数y＝kx与函数y的图象交于A，B两点，BC∥x轴，AC∥y轴，则S△ABC＝　　．
 ",4
"如图，与外切，，若的半径为6cm，则的半径为______​​​​​​​
 ",3
"如图，已知函数的图象经过点A、B，点B的坐标为过点A作轴，垂足为C，过点B作轴，垂足为D，AC与BD交于点一次函数的图象经过点A、D，与x轴的负半轴交于点E​​​​​​​ 
 若，求a、b的值； 
 若，求BC的长．",4
"如图，正比例函数y＝k1x和反比例函数y＝图象相交于A、B两点，若点A的坐标是（3，2），则点B的坐标是____________．
 ",4
"一个几何体的侧面展开图如图所示，则该几何体的底面是（　　）
 
 A．B．
 C．D．",2
"如图，直线yx与双曲线y（k＜0，x＜0）交于点A，将直线yx向上平移2个单位长度后，与y轴交于点C，与双曲线交于点B，若OA＝2BC，则k的值为（　　）
 
 A．B．﹣7C．D．
",4
"如图，一次函数y1＝kx+b的图象与反比例函数y2的图象相交于A，B两点，直线AB与x轴相交于点C，点B的坐标为（﹣6，m），线段OA＝5，E为x轴正半轴上一点，且cos∠AOE．
 （1）求反比例函数的解析式；
 （2）求证：S△AOC＝2S△BOC；
 （3）直接写出当y1＞y2时，x的取值范围．
 
",4
5的平方根是，算术平方根是．,"0,1"
直线y＝x与双曲线y＝在第一象限的交点为（a，1），则k＝．,4
9的平方根是，9的算术平方根是．,"0,1"
"已知双曲线y 与直线y＝kx+b交于A（x1，y1），B（x2，y2），若x1+x2＞0，y1+y2＞0，则（　　）
 A．k＞0，b＞0B．k＞0，b＜0C．k＜0，b＞0D．k＜0，b＜0
",4
"认真阅读下面材料并解答问题：
 在一次函数y＝kx+b（k≠0）中，可按如下步骤变形：
 ①kx＝y﹣b，
 ②xy（k≠0），
 ③把xy中的x，y互换，得到yx．
 此时我们就把函数yx（k≠0）叫做函数y＝kx+b的反函数．
 特别地，如果两个函数解析式相同，自变量的取值范围也相同，则称这两个函数为同一函数．
 （1）求函数yx+1与它的反函数的交点坐标；
 （2）若函数y＝kx+2与它的反函数是同一函数，求k的值．",4
"反比例函数，在第一象限的图象如图所示，过y2上任意一点A，作y轴垂线交y1于点B，交y轴于点C，作x轴垂线，交y1于点D，交x轴于点E，直线BD分别交x轴，y轴于点M，N，则　　．
 
",4
"在平面直角坐标系中，直线y＝﹣x+b与反比例函数y＝的图象有唯一公共点，若直线y＝﹣x+b与反比例函数y＝的图象有2个公共点，则b的取值范围是．
 ",4
"如图，在平面直角坐标系xOy中，函数y＝kx+b（k≠0）与y（m≠0）的图象相交于点A（2，3），B（﹣6，﹣1），则不等式kx+b的解集为（　　）
 
 A．x＜﹣6B．﹣6＜x＜0或x＞2
 C．x＞2D．x＜﹣6或0＜x＜2",4
"用一张面积为400cm2的正方形纸片，沿着边的方向裁出一个长宽之比为3：2的长方形纸片（裁剪方式见示意图），该长方形纸片的面积可能是300cm2吗？请通过计算说明． 
  
 ",0
"如图，直线与双曲线相交于，两点，与y轴相交于点
求m，n的值；
若点D与点C关于x轴对称，求的面积．


",4
正比例函数y1＝k1x的图象与反比例函数y2＝的图象相交于点A（﹣1，2）和点B．当y1＜y2时，自变量x的取值范围是．,4
"已知两圆的半径分别是2cm、3cm．当两圆相交时，两圆的圆心距可能是（　　）
 A．1cmB．3cmC．5cmD．7cm",3
"4的算术平方根是（　　）
A．&plusmn;2B．C．2D．﹣2",0
"已知反比例函数y1的图象与一次函数y2＝ax+b的图象交于点A（1，4）和点B（m，﹣2）．
 （1）求反比例函数和一次函数的关系式；
 （2）求△AOB的面积；
 （3）观察图象，写出使得y1≤y2成立的自变量x的取值范围．
 
",4
"若方程的两根为a和b，且，则下列结论中正确的是
 A.a是19的算术平方根B.b是19的平方根
 C.是19的算术平方根D.是19的平方根","0,1"
"已知反比例函数y1＝与正比例函数y2＝x相交于A（2，2）．
 （1）求k值．
 （2）画出反比例函数的图象．
 （3）当y1＞y2时，直接写出x的范围？
 （4）根据图象，解不等式＜x﹣3．
 ",4
"某小区将原来400m2的正方形场地改建为360m2的长方形场地，且长和宽之比为3：2．小区四周是用铁栅栏做围墙，如果把原来正方形场地的铁栅栏围墙用来做新长方形场地的铁栅栏围墙，那么原来的铁栅栏是否够用？请说明理由．
 ",0
"8的平方根是 
 A.4B.C.D.","0,1"
"若方程的两根为a和b，且，则下列结论中正确的是
 A.a是19的算术平方根B.b是19的平方根
 C.是19的算术平方根D.是19的平方根","0,1"
"在同一直角坐标系中，若正比例函数的图象与反比例函数的图象没有公共点，则 
 A.B.C.D.",4
将双曲线向右平移1个单位长度，再向下平移2个单位长度，得到的新双曲线与直线相交于两点，其中一个点的横坐标为a，另一个点的纵坐标为b，则______.,4
"如图，，的圆心在直线l上，的半径为2cm，的半径为，以的速度沿直线l向右运动，7s后停止运动．在此过程中，和没有出现的位置关系是 
  
 A.外切B.相交C.内切D.内含",3
"如图，反比例函数y1和正比例函数y2＝k2x的图象交于A（﹣2，﹣3）、B（2，3）两点，若k2x，则x的取值范围是（　　）
 
 A．x＜﹣2或0＜x＜2B．﹣2＜x＜0或x＞2
 C．﹣2＜x＜0D．﹣2＜x＜2",4
"已知⊙O1与⊙O2外切，它们的半径分别为2和3，则圆心距O1O2的长是（　　）
 A．O1O2＝1B．O1O2＝5C．1＜O1O2＜5D．O1O2＞5",3
函数y1＝k1x+b的图象与函数y2＝的图象交于点A（2，1）、B（n，2），则不等式﹣＜﹣k1x+b的解集为．,4
9的算术平方根是 ．,0
"如图，一次函数y＝k1x+b的图象经过A（0，﹣2），B（1，0）两点，与反比例函数的图象在第一象限内的交点为M，若△OBM的面积为2．
（1）求一次函数和反比例函数的表达式；
（2）在x轴上是否存在点P，使AM⊥MP？若存在，求出点P的坐标；若不存在，说明理由．

",4
"反比例函数y＝和正比例函数y＝mx的部分图象如图，由此可以得到方程＝mx的实数根为（　　）
 
 A．x＝1B．x＝2C．x1＝1，x2＝﹣1D．x1＝1，x2＝﹣2",4
" 
 若方程 
 的两根为 
 a 
 和 
 b 
 ，且a&gt;b 
 ，则下列结论中正确的是() 
A. 
a 
是19 
的算术平方根 
B. 
b 
是19 
的平方根 
C. a-5 
是19 
的算术平方根 
​​​​​​​D. b+5 
是19 
的平方根 
","0,1"
"如图，在平面直角坐标系xOy中，已知一次函数y＝kx+b的图象经过点A（1，0），与反比例函数（x＞0）的图象相交于点B（2，1）．
（1）求m的值和一次函数的解析式；
（2）结合图象直接写出：当x＞0时，不等式的解集．
",4
"如图，QQ软件里的“礼盒”图标是一个表面印有黑色实线，顶端有图示箭头的正方体，下列图形中，是该几何体的表面展开图的是（　　）
 
 A．B．
 C．D．",2
已知⊙O1，⊙O2没有公共点，若⊙O1的半径为4，两圆圆心距为5，则⊙O2的半径可以是（写出一个符合条件的值即可）,3
5的算术平方根是　　．,0
"如图，一个几何体上半部为正四棱锥，下半部为立方体，且有一个面涂有颜色．下列图形中，是该几何体的表面展开图的是 
 A.B. 
 C.D.",2
"张华想用一块面积为400cm2的正方形纸片，沿着边的方向剪出一块面积为300cm2的长方形纸片，使它的长宽之比为3：2．他不知能否裁得出来，正在发愁．李明见了说：“别发愁，一定能用一块面积大的纸片裁出一块面积小的纸片．”你同意李明的说法吗？张华能用这块纸片裁出符合要求的纸片吗？
 ",0
"点O1、O2在直线l上，⊙O1的半径为2cm，⊙O2的半径为3cm，4cm＜O1O2＜8cm．⊙O1与⊙O2不可能出现的位置关系是（　　）
 A．外离B．外切C．相交D．内切",3
"小明想用一块面积为900cm2的正方形纸片，沿着边的方向裁出一块面积为800cm2的长方形纸片，使得长方形的长宽之比为5：4，他的想法是否能实现？请说明理由
 ",0
"正比例函数y1＝k1x和反比例函数y2＝的图象如图所示，交点A的坐标是（1，4），那么当y1＞y2时，x的取值范围是（　　）
 
 A．x＞1B．x＜1
 C．﹣1＜x＜1D．﹣1＜x＜0或x＞1",4
"若双曲线y与直线y＝2x+1的一个交点的横坐标为﹣1，则k的值为（　　）
 A．﹣1B．1C．﹣2D．2
 ",4
