exam,knowledge
（1）按要求从氧化镁、一氧化碳、氢氧化钠、碳酸钙中选取合适的物质，将其化学式填写在下列横线上。①一种有毒的气体　CO　；②一种金属氧化物　MgO　；③一种可溶性的碱　NaOH　；④一种难溶性的盐　CaCO3　。（2）人与自然和谐共生的理念，已成为国家的意志，保护自然环境，人人有责。试回答：①济南市已全面启动城镇生活垃圾分类工作，生活垃圾将全面得到无害化处理。现有下列四种生活垃圾，不能投放到可回收物垃圾桶内的是　C　（填选项序号之一）。A．玻璃啤酒瓶B．金属易拉罐C．废弃水果皮D．塑料饮料瓶②保护水源就是保护我们的生命之源。自来水厂通常用高铁酸钾（K2FeO4）作为净水剂和消毒剂来处理天然水。在高铁酸钾中，铁、氧两种元素的原子个数之比为　1：4　（填最简整数比）。③化石燃料的大量使用会影响生态环境。煤燃烧产生的二氧化硫和汽车尾气中的氮氧化物是导致酸雨的重要原因。在二氧化硫（SO2）中，硫元素和氧元素的质量之比为　1：1　（填最简整数比）。现在的汽车排气管上都安装了“催化转化器”（如图2），使尾气中的一氧化碳和氮氧化物（NOx）转化为氮气和二氧化碳，这样就能减少对空气的污染，其主要原因是　B　（填下列选项序号之一）。A．生成的N2属于单质B．生成的N2和CO2都不属于空气污染物C．生成的N2和CO2都不能燃烧D．生成的CO2属于氧化物④绿色化学也称环境友好化学，就是利用化学原理，实现从生产源头减少或消除对环境的污染。某化学小组的同学欲利用单质铜制备硫酸铜，设计了如下甲、乙两个制备实验方案：甲：CuCuOCuSO4乙：CuCuSO4[已知：Cu+2H2SO4（浓）CuSO4+SO2↑+2H2O]在上述两方案中，更符合绿色化学观念的是　甲　（填“甲”“乙”之一）。若取相同质量的单质铜，分别用上述两方案制备硫酸铜，将两者理论上最多可制备硫酸铜的质量进行比较，结果为　C　（填下列选项序号之一）。A．甲方案较多B．乙方案较多C．二者相等,30;75;302;303;307;340;348
化学与生活联系密切，生活中处处有化学．（1）食醋不慎滴在厨房大理石台面或水泥地面上，立即发出“嘶嘶”响声，并冒气泡，这是因为发生了　化学　变化（填“物理”或“化学”）．（2）市场上调味品种类丰富，有碘盐、钙盐、加铁酱油等，其中含有的碘、钙、铁三种元素中属于非金属元素的是　碘　．（3）农村一些家庭用“沼气”做燃料，沼气的主要成分是甲烷（CH4）．写出甲烷完全燃烧的化学方程式　CH4+2O2CO2+2H2O　．（4）长期饮用硬水对人体健康不利，生活中可用　肥皂水　来区别硬水和软水．（5）糖水、生理盐水、碘酒是我们经常接触到的三种物质．它们的共同特点是：①溶质都是固体；②都是均一、稳定的溶液；③　都是混合物（其他答案合理即可）　（答一条即可）（6）2009年5月31日，是世界第22个“无烟日”．吸烟有害健康．燃着的香烟产生的烟气中含有一种能与血液血红蛋白结合的有毒气体，它是　CO　．（7）家用煤炉中的蜂窝煤有12孔、14孔，甚至16孔等多个品种，你认为孔道越　多　（填多、少）燃烧越充分，理由是　增大可燃物与氧气的接触面积（或使燃烧更充分）　．（8）铁是生活中常用的金属．如图是某“取暖片”外包装的图片．该“取暖片”中发热剂主要成分有铁粉、活性炭、氯化钠、水等，其发热是利用铁生锈时会放热．①发热剂需接触到空气才会发热，原因是铁要与　H2O　、　O2　等物质共同作用才会生锈．②推测发热剂成分中氯化钠的作用是　加快铁生锈　．（9）在建筑工业上常用石灰石煅烧得到生石灰，反应的化学方程式：　CaCO3CaO+CO2↑　．,64;110;115;151;161;215;220
老师从实验桌上拿出两瓶常用的但标签已经模糊不清的试剂瓶，分别是固体和液体，小青分别取少量试剂在试管中混合，立即产生一种无色气体。同学们对此气体展开了一系列探究：（1）①此气体是什么物质？验证它的实验方案如下：猜想验证猜想的实验步骤现象结论我认为此气体可能是　氧气　　将带火星的木条伸入试管内部　　带火星的木条复燃　　此气体为氧气　产生此气体的一个化学方程式是　2H2O22H2O+O2↑　②若想制取该气体，发生装置将选取图中的　B　（填序号，以下同），收集装置选取　收集装置选取C　。（2）有同学猜想无色气体还可能是另外一种气体，产生它的其中一个化学方程式是　2HCl+CaCO3═CaCl2+H2O+CO2↑　；收集装置可采用如图中的　E　（填序号）。,54;55;56;85;86;93;3
现有如图所示的下列实验装置．回答问题：（1）仪器①的名称是　试管　，检验B装置气密性方法是　先夹住弹簧夹，再向长颈漏斗中加水，形成液封后继续加水，长颈漏斗中会形成一段水柱　．（2）如果用氯酸钾和二氧化锰的混合物来制氧气，反应方程式为　2KClO32KCl+3O2↑　；可选用的发生装置和收集装置是　AD或AF　（填写序号）．（3）质量分数为3%的医用双氧水在常温下难分解；但在双氧水溶液中加入铁锈，就会迅速分解，且反应结束后过滤出的铁锈可重复使用．试写出该反应的化学方程式　2H2O22H2O+O2↑　，发生装置可选用　B　（填写序号）；用该发生装置还可以制取的气体是　H2或CO2　．（从学过的气体中选择）（4）某化学研究小组的同学欲对某种塑料袋的组成进行分析探究（资料显示该塑料只含C、H两种元素），他们设计了如下图所示的实验装置，使该塑料试样在纯氧中燃烧，观察实验现象，分析有关数据，推算元素含量．①仪器乙的作用是　干燥　，仪器戊中的现象是　澄清石灰水变浑　．②若装置中没有连接仪器乙，将使该塑料试样中氢元素的质量测算结果　偏大　（填“偏小”、“偏大”、“无影响”）．,54;55;193;215;23;27;51
某同学设计如下实验探究“温度”及“固体溶质的形态”对溶解速率的影响．a．上述三个烧杯中，所得溶液浓度的大小关系是　②＝③＞①　（用“①”、“②”、“③”表示）．b．若要达到实验目的，需改变实验①中的一个条件是　B　（从以下选项中选择）．A．将20℃的水改为80℃B．将水的体积改为50mLC．将粉末状固体改为块状纯净物的化学式是经实验测定得出的，同学们设计以下甲、乙两组实验方案测定水的组成．甲乙①甲方案中发生反应的化学方程式为　2H2O2H2↑+O2↑　，b端的气体是　氢气　．由产生气体的体积可推算出氢气与氧气的质量比为1：8，若氢氧原子的相对原子质量分别为m和n，则水中氢、氧元素的原子个数比为　n：8m　（用“m”或“n”表示）．②乙方案的实验过程中，B装置中可观察到　黑色固体变红色　．若反应结束测得B装置减轻6g，则C装置增重的质量会　大于　（填“大于”或“等于”或“小于”）8g．甲、乙方案的反应原理虽不同，但实验的设计依据都是　化学反应前后元素的种类不变，原子种类、总个数不变　．,19;23;57;104;117;134;608
（1）写出正确的化学用语：①m个铵根离子　mNH4+　；②温度计中填充的液态金属是　Hg　；⑨地壳中含量最多的非金属元素和金属元素形成的化合物　Al2O3　．（2）实验操作顺序是化学实验要考虑的重要问题之一．请用各操作的序号写出正确的操作顺序：a．用已调零的托盘天平称取物质的操作．正确的顺序为　②①③　．①加质量小的砝码②加质量大的砝码③移动游码b．从用高锰酸钾制取氧气后的固体残留物中提取二氧化锰的操作．正确的顺序　③①②④　．①过滤②洗涤③溶解④烘干c．某学生用石灰石和盐酸制取二氧化碳，有下列操作．正确的顺序为　④②①③　．①加盐酸②加石灰石③打开活塞使两种物质反应④检查气密性．,29;34;46;87;92;328;354
实验是进行科学探究的重要方式，请根据题目要求完成以下三个小题（1）图1是实验室常用的仪器：请回答下列的问题：可直接加热的有　⑥　（填序号），仪器⑤和⑧的名称分别是　烧杯　、　玻璃棒　，用仪器①能否量取68mL溶液　能　（填“能”或“否”）．（2）探究燃烧条件的实验装置如图2所示：实验中可观察到铜片上的白磷燃烧，而铜片上的红磷和热水中的白磷都没有燃烧．由该实验得出可燃物燃烧的条件是：　与氧气接触、达到着火点　．实验中使用铜片，是利用了铜的　导热性　．（3）请根据图3所示的A、B、C三个实验的图示回答问题：①用A图所示测定空气中氧气的含量时，得到的结论是　氧气约占空气体积的五分之一　．②利用B图所示方法，把二氧化碳慢慢倒入放有燃烧的蜡烛的烧杯中，下层蜡烛的火焰先熄灭．二氧化碳这一性质在实际生活中的应用为　灭火　．③利用C图所示方法，对细铁丝在氧气中燃烧为什么会火星四射进行探究．如表是不同含碳量的铁丝（所用铁丝直径均相同）放入氧气中燃烧时的实验现象：铁丝中含碳量05%2%5%燃烧时的现象剧烈燃烧，极少火星剧烈燃烧，少量火星剧烈燃烧，大量火星由表可分析出“火星”可能是　铁中含有的碳　与氧气反应所导致的．,605;73;292;98;17;32;33
下列知识整理的内容不完全正确的一组是A．化学与安全B．化学与生活稀酸溅入眼睛﹣﹣用大量水冲洗进入地窖﹣﹣先做灯火实验除去餐具上的油污﹣﹣用洗洁精溶解酸雨﹣﹣pH小于7的雨水C．化学与能源D．化学与环保化石燃料﹣﹣煤、石油和天然气清洁能源﹣﹣太阳能、风能等减少汽车尾气污染﹣﹣提倡使用公共交通等减少温室气体排放﹣﹣利用水力、核能发电A．化学与安全B．化学与生活C．化学与能源D．化学与环保,53;76;120;97;169;225;242
化学实验室里，同学们在对酸和碱的性质进行实验探究。（1）酸和碱的组成中都含有氢元素，如图1是氢在元素周期表中的一些信息，下列说法中错误的是　C　。A．氢元素属于非金属元素B．氢原子核内质子数为1C．氢原子的质量为008D、氢原子的结构示意图为（2）如图2是某种高浓度盐酸试剂瓶标签上的部分内容。若要配制120g溶质质量分数为6%的稀盐酸溶液，需要量取该盐酸的体积为　40　mL（3）盛装烧碱溶液的试剂瓶不能敞口放置，否则烧碱溶液会变质。请你设计一个实验，在既能检验烧碱溶液变质的同时，又能除去产生的杂质（用化学方程式表示）：　Na2CO3+Ca（OH）2＝CaCO3↓+2NaOH　。（4）在进行中和反应的实验探究时，有同学向氢氧化钠溶液中滴加稀硫酸时，没有看到明显现象，这两种物质是否发生了化学反应呢？几位同学对此进行了实验探究：①甲同学先向氢氧化钠溶液中加入几滴酚酞溶液，溶液变红色，然后向变红的氢氧化钠溶液中滴加稀硫酸并不断搅拌，最终发现红色消失，证明两种物质发生了化学反应。②乙同学先测定氢氧化钠溶液的pH，再向氢氧化钠溶液中加入一定量的稀硫酸，然后再次测定溶液的PH，发现PH　变小　（填“变大”、“变小”或“不变”），证明两种物质发生了化学反应。③丙同学经查阅资料得知：酸与碱发生中和反应会放出热量，于是设计了如图3的实验装置，发现气球　变大　（填“变大”、“变小”或“不变”），证明两种物质发生了化学反应。④你认为这三位同学的实验探究中，是否都合理？为什么？⑤几位同学分析后认为：不是所有的中和反应都没有明显现象，例如　氢氧化铜　与稀硫酸反应就有明显的实验现象。⑥完全中和100g溶质质量分数为16%的氢氧化钠溶液，至少需要溶质质量分数为8%的稀硫酸多少克？,12;163;185;323;331;215;216
下列对某一主题的知识归纳，完全错误的一组是（　　）A．化学之最①最简单的有机物﹣甲烷②地壳中含量最多的元素﹣氮元素B．化学与食品①用亚硝酸钠替代食盐烹调食物②碳酸钙用作焙制糕点的发酵粉C．化学与生活①被蚊虫叮咬后，可涂上含碱性的药水②电器因电线短路着火，不能用水扑灭D．化学与健康①香烟烟气中的一氧化碳是一种极易与血液中的血红蛋白结合的有毒气体②人体缺乏维生素A会引起坏血病,69;164;173;222;257;264;258
小玲同学对所学的部分化学知识作了如下归纳，其中有错误的一项是（　　）A、化学之最①地壳中含量最多的元素是氧元素②自然界中最硬的物质是金刚石B、实验安全①点燃可燃性气体，先检验气体纯度②稀释浓硫酸时，将水注入浓硫酸中C、环保理念①研制和开发新能源替代传统能源②减少使用一次性塑料袋D、生活经验①利用洗涤剂的乳化作用清洗油污②利用煮沸的方法软化硬水A．AB．BC．CD．D,69;110;120;609;232;475;44
某兴趣小组利用下列装置进行实验，请回答：（1）指出图中标有字母的仪器名称：a　酒精灯　b　试管　．（2）A、B、C装置可用于实验室制取和收集某些气体，实验开始前均要检查装置气密性，如图D，若　导管口有气泡冒出　说明气密性良好．①若用加热高锰酸钾制取氧气，应选用的发生装置是　A　（填“A”“B”或“C”），该装置还需做的一点改动是　试管口要塞一团棉花　．反应的化学方程式是　2KMnO4K2MnO4+MnO2+O2↑　．②用锌粒和浓盐酸反应制氢气，将制出的气体通入硝酸银溶液中，有白色沉淀生成，说明氢气中含有（写化学式）　HCl　，若要制取纯净、干燥的氢气，除发生装置外可选用的上图中一种装置是　E　_，该装置中药品的作用是_　除去氯化氢气体和水蒸气　．③若B装置中装有石灰石和稀盐酸，则该装置可用于制取　二氧化碳　气体．如果用C装置收集该气体，则气体从　c　端进入（填c或d），收集气体的方法是　向上排空气　法．,25;605;51;84;134;92;215
如图是某同学用于实验室制取气体的装置图：（1）写出仪器名称：a：　长颈漏斗　b：　集气瓶　．（2）若该装置用于实验室制取O2，则锥形瓶内应加入固体　二氧化锰　，a中加入的液体是　H2O2溶液　．若用带火星的木条伸入集气瓶口、瓶中、瓶底检验所生成气体时，均未见木条复燃，则可能的原因是　倒入的H2O2溶液量浓度过稀、过少或失效等原因　．（3）若该装置用与实验室制取二氧化碳，相应的化学方程式为　CaCO3+2HCl═CaCl2+H2O+CO2↑　．检验该气体是否收集满的方法是　将一点燃的木条放在集气瓶口处，如其熄灭就证明收集满了　．（4）若该装置用于实验室制取氢气，则收集装置应做何修改？　集气瓶倒放　．（5）小试管的作用是　节约液体药品并液封长颈漏斗的下管口，避免生成的气体由此逸出　．,25;56;84;87;134;92;215
在生活和化学实验中，人们经常用到各种除湿剂（干燥剂）．（1）硅胶，其主要成分可看作是SiO2，其中Si元素的化合价为　+4　．（2）生石灰，吸水后生成熟石灰，该反应的化学方程式为　CaO+H2O═Ca（OH）2　．（3）无水氯化钙，若1kg无水氯化钙吸收2kg水后得到氯化钙溶液，该溶液中溶质的质量分数为　5　%（精确到1%）．（4）浓硫酸，在化学实验中常用它作干燥剂，但日常生活中却很少用它．其原因是　浓硫酸有强腐蚀性　（写出一条即可）．（5）还原铁粉，又称“双吸剂”，能吸收空气中的水分和氧气，用于食品保鲜．检验使用一段时间后的“双吸剂”是否仍有效的化学方法为　Fe+H2SO4═FeSO4+H2↑　．（请用化学方程式表示）,59;133;140;156;345;215;44
氧气是生产生活中重要的物质，如图1是有关氧气的知识结构图，请回答下列问题：（1）反应①的化学方程式为　2H2O22H2O+O2↑　．（2）反应②属于基本反应类型中的　分解　反应．（3）反应③中二氧化锰的作用是　催化作用　．（4）生成④的反应现象为　剧烈燃烧，发出耀眼的白光，放出大量的热　．（5）C、P、Fe与氧气反应的共同特征为　都是化合反应　（写出一条即可）．（6）物质⑤属于　C　（填序号）．A．单质B．化合物C．氧化物（7）氧气有很多用途（如图2），下列属于氧气用途的是　AC　（填序号）．,79;80;83;303;307;208;215
